"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "YAML", "XML", "Docker", "JavaScript", "Prisma", "Ignore", "JavaScript JSX", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\commands\delete-property.handler.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\commands\edit-property.handler.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\commands\property.commands.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\dto\changeProperty.dto.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\dto\createProperty.dto.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\dto\newAddress.dto.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\dto\searchParams.dto.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 68
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\mappers\property.mapper.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\queries\find-properties.handler.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\queries\find-property.handler.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\queries\property.queries.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\domain\entities\Property.entity.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 137
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\domain\events\property.events.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
